team,total_free_throw_attempts,total_free_throw_made,total_two_point_attempts,total_two_point_made,total_three_point_made,total_three_point_attempts,total_assists,total_offensive_rebounds,total_defensive_rebounds,total_turnovers,total_points,game_id,timestamp
kwetu,2.0,2.0,17.0,24.0,5.0,6.0,3.0,5.0,25.0,14.0,65.0,7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z
rangers,2.0,1.0,29.0,19.0,1.0,16.0,3.0,9.0,12.0,11.0,42.0,7b1ab935-6bc5-44bb-88b1-1a99db0bfd94,2024-04-13T14:47:51.237Z
e nets,13.0,16.0,33.0,18.0,4.0,7.0,6.0,10.0,24.0,16.0,64.0,61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z
vikapu,14.0,15.0,36.0,22.0,7.0,21.0,10.0,19.0,21.0,13.0,80.0,61fd3fb6-3e69-4cc3-8ac5-c1e68387743f,2024-10-12T05:16:43.328Z
junubin,8.0,12.0,28.0,16.0,2.0,10.0,5.0,13.0,32.0,26.0,50.0,71db8867-d325-4c57-a606-e0cde8f5d5dd,2024-03-31T13:25:23.564Z
saints,15.0,12.0,41.0,15.0,2.0,16.0,4.0,15.0,18.0,16.0,48.0,71db8867-d325-4c57-a606-e0cde8f5d5dd,2024-03-31T13:25:23.564Z
fam kenya,18.0,6.0,16.0,27.0,5.0,19.0,3.0,17.0,16.0,8.0,75.0,b0110d7e-c639-4177-9852-83bf918cf050,2024-03-23T14:27:52.076Z
feba,10.0,6.0,16.0,20.0,6.0,15.0,3.0,11.0,20.0,15.0,64.0,b0110d7e-c639-4177-9852-83bf918cf050,2024-03-23T14:27:52.076Z
db nets,7.0,2.0,34.0,16.0,2.0,10.0,1.0,4.0,25.0,12.0,40.0,fc9a6fe4-2c10-4919-b753-8d84b1d795c6,2024-03-24T10:10:52.761Z
e nets,14.0,10.0,27.0,21.0,1.0,12.0,3.0,7.0,21.0,11.0,55.0,fc9a6fe4-2c10-4919-b753-8d84b1d795c6,2024-03-24T10:10:52.761Z
saints,8.0,5.0,21.0,15.0,5.0,12.0,1.0,8.0,12.0,7.0,50.0,cd0fc962-4fd1-4bd9-a1ff-8fe48968595c,2024-04-06T11:59:56.972Z
teffad,8.0,7.0,17.0,21.0,3.0,9.0,4.0,7.0,13.0,10.0,58.0,cd0fc962-4fd1-4bd9-a1ff-8fe48968595c,2024-04-06T11:59:56.972Z
clique m,14.0,28.0,40.0,20.0,3.0,17.0,9.0,19.0,25.0,18.0,77.0,22f4f204-27c0-41b9-b640-7e6e30a6dea6,2024-03-31T15:05:28.691Z
feba,9.0,5.0,26.0,19.0,4.0,14.0,7.0,13.0,24.0,27.0,55.0,22f4f204-27c0-41b9-b640-7e6e30a6dea6,2024-03-31T15:05:28.691Z
sunrise kenya,5.0,5.0,30.0,12.0,1.0,17.0,2.0,6.0,26.0,15.0,32.0,bfe7dc35-6f9c-4471-b92e-6a8897090677,2024-03-24T15:04:17.634Z
twende,6.0,14.0,23.0,21.0,9.0,28.0,6.0,17.0,32.0,10.0,83.0,bfe7dc35-6f9c-4471-b92e-6a8897090677,2024-03-24T15:04:17.634Z
jericho nets,9.0,5.0,17.0,19.0,4.0,6.0,4.0,3.0,11.0,14.0,55.0,217cd89a-3485-45c5-9fbe-0ac19387340d,2024-05-26T08:28:41.857Z
phenoms,13.0,10.0,19.0,27.0,6.0,14.0,12.0,10.0,13.0,11.0,82.0,217cd89a-3485-45c5-9fbe-0ac19387340d,2024-05-26T08:28:41.857Z
bantu,2.0,4.0,28.0,5.0,4.0,12.0,3.0,6.0,13.0,8.0,26.0,875ab1f2-c04b-4d1a-a09a-988ac4b6cc44,2024-05-26T08:27:43.936Z
rangers,7.0,15.0,17.0,15.0,2.0,18.0,5.0,7.0,16.0,4.0,51.0,875ab1f2-c04b-4d1a-a09a-988ac4b6cc44,2024-05-26T08:27:43.936Z
feba,6.0,9.0,21.0,10.0,2.0,17.0,1.0,7.0,12.0,11.0,35.0,76043063-65a7-4d04-8037-121ecc29081c,2024-04-20T11:43:41.888Z
teffad,9.0,17.0,24.0,17.0,1.0,11.0,3.0,9.0,19.0,2.0,54.0,76043063-65a7-4d04-8037-121ecc29081c,2024-04-20T11:43:41.888Z
buruburu,4.0,14.0,23.0,20.0,1.0,11.0,1.0,7.0,13.0,12.0,57.0,c200a5f8-c829-45d0-abf1-5059d9f09a7e,2024-10-10T05:21:09.526Z
twende,4.0,13.0,15.0,31.0,12.0,14.0,11.0,6.0,15.0,6.0,111.0,c200a5f8-c829-45d0-abf1-5059d9f09a7e,2024-10-10T05:21:09.526Z
kibra,6.0,3.0,13.0,10.0,0.0,2.0,2.0,3.0,9.0,7.0,23.0,dae5e4ca-abfd-4b04-a0ef-72cd45ce5821,2024-03-09T13:49:01.044Z
savio,1.0,2.0,11.0,6.0,2.0,5.0,0.0,6.0,8.0,6.0,20.0,dae5e4ca-abfd-4b04-a0ef-72cd45ce5821,2024-03-09T13:49:01.044Z
db nets,12.0,16.0,29.0,23.0,5.0,12.0,9.0,16.0,33.0,16.0,77.0,1845ad0d-7dd0-4146-9e81-95ada7a1b92d,2024-03-30T13:36:39.320Z
kibra,14.0,16.0,46.0,27.0,0.0,14.0,6.0,26.0,22.0,13.0,70.0,1845ad0d-7dd0-4146-9e81-95ada7a1b92d,2024-03-30T13:36:39.320Z
kibra,4.0,4.0,12.0,9.0,1.0,8.0,0.0,7.0,4.0,7.0,25.0,0bd96183-fee0-43ab-81ba-1ee76af13e33,2024-03-10T11:20:28.235Z
phenoms,4.0,10.0,17.0,12.0,0.0,9.0,1.0,11.0,10.0,6.0,34.0,0bd96183-fee0-43ab-81ba-1ee76af13e33,2024-03-10T11:20:28.235Z
kibra,5.0,10.0,32.0,25.0,0.0,2.0,8.0,12.0,21.0,19.0,60.0,98ffc5c3-c89c-4112-8b42-9d28913ecce3,2024-04-13T12:08:44.208Z
leos,4.0,8.0,24.0,11.0,1.0,21.0,3.0,5.0,10.0,11.0,33.0,98ffc5c3-c89c-4112-8b42-9d28913ecce3,2024-04-13T12:08:44.208Z
fam kenya,9.0,9.0,13.0,10.0,1.0,9.0,1.0,9.0,9.0,6.0,32.0,3771c659-0fa4-4750-8419-2b6a3b845a23,2024-03-10T08:01:25.497Z
feba,8.0,8.0,17.0,10.0,3.0,10.0,1.0,12.0,13.0,6.0,37.0,3771c659-0fa4-4750-8419-2b6a3b845a23,2024-03-10T08:01:25.497Z
leos,3.0,1.0,24.0,11.0,4.0,12.0,4.0,10.0,11.0,16.0,35.0,07380e90-951b-4d7e-8b41-7e1c8b3d44f8,2024-04-07T13:06:37.798Z
savio,9.0,11.0,24.0,21.0,2.0,14.0,5.0,15.0,22.0,17.0,59.0,07380e90-951b-4d7e-8b41-7e1c8b3d44f8,2024-04-07T13:06:37.798Z
buruburu,21.0,10.0,20.0,20.0,6.0,9.0,2.0,13.0,22.0,12.0,68.0,7fb75768-3c82-4854-aabf-83d449e6ce60,2024-04-20T10:02:42.087Z
huruma,26.0,12.0,24.0,16.0,6.0,25.0,3.0,18.0,10.0,12.0,62.0,7fb75768-3c82-4854-aabf-83d449e6ce60,2024-04-20T10:02:42.087Z
moorewright,3.0,4.0,10.0,11.0,6.0,10.0,5.0,5.0,8.0,6.0,44.0,608e75ed-e52e-4420-9748-9a13e7c584c5,2024-08-21T10:15:09.150Z
twende,1.0,4.0,11.0,42.0,9.0,14.0,24.0,9.0,12.0,7.0,115.0,608e75ed-e52e-4420-9748-9a13e7c584c5,2024-08-21T10:15:09.150Z
huruma,12.0,9.0,22.0,14.0,5.0,26.0,1.0,12.0,19.0,11.0,52.0,645f5e2d-372e-4c46-8e03-c682423a52d4,2024-03-23T10:29:29.289Z
junubin,11.0,13.0,19.0,17.0,2.0,13.0,1.0,4.0,28.0,10.0,53.0,645f5e2d-372e-4c46-8e03-c682423a52d4,2024-03-23T10:29:29.289Z
deementor,12.0,9.0,28.0,10.0,5.0,14.0,5.0,11.0,26.0,15.0,44.0,cd987855-d4d3-41d9-9ab2-64adcc3dfa31,2024-03-31T10:19:37.327Z
teffad,9.0,3.0,21.0,7.0,6.0,23.0,2.0,13.0,24.0,19.0,35.0,cd987855-d4d3-41d9-9ab2-64adcc3dfa31,2024-03-31T10:19:37.327Z
huruma,5.0,12.0,23.0,12.0,2.0,19.0,3.0,8.0,16.0,10.0,42.0,98232f27-d1d3-4ce2-9b7c-bbb712e5cb53,2024-03-17T08:50:36.113Z
saints,9.0,8.0,21.0,18.0,3.0,12.0,5.0,9.0,30.0,20.0,53.0,98232f27-d1d3-4ce2-9b7c-bbb712e5cb53,2024-03-17T08:50:36.113Z
buruburu,9.0,3.0,35.0,23.0,5.0,10.0,10.0,15.0,28.0,18.0,64.0,8318ca1d-0d0b-4b63-877d-8fabd2094d1b,2024-04-06T13:13:46.360Z
feba,10.0,14.0,30.0,16.0,7.0,21.0,6.0,15.0,27.0,17.0,67.0,8318ca1d-0d0b-4b63-877d-8fabd2094d1b,2024-04-06T13:13:46.360Z
clique,4.0,8.0,13.0,12.0,2.0,11.0,6.0,6.0,12.0,3.0,38.0,e2de976f-8029-4d55-af2c-deebe9870b2c,2024-03-10T10:33:27.409Z
junubin,2.0,6.0,12.0,7.0,0.0,9.0,0.0,7.0,10.0,9.0,20.0,e2de976f-8029-4d55-af2c-deebe9870b2c,2024-03-10T10:33:27.409Z
feba,0.0,0.0,13.0,13.0,2.0,10.0,1.0,8.0,8.0,2.0,32.0,eeb6adbb-0261-4b6e-b159-9567ceec409e,2024-03-09T16:52:53.005Z
kwetu,7.0,4.0,12.0,5.0,0.0,4.0,0.0,1.0,5.0,2.0,14.0,eeb6adbb-0261-4b6e-b159-9567ceec409e,2024-03-09T16:52:53.005Z
junubin,4.0,4.0,18.0,13.0,5.0,8.0,0.0,3.0,21.0,8.0,45.0,caa03a8c-1733-4a39-a5f5-7704255ced4d,2024-03-16T12:28:25.930Z
phenoms,9.0,9.0,18.0,23.0,7.0,20.0,0.0,18.0,19.0,13.0,76.0,caa03a8c-1733-4a39-a5f5-7704255ced4d,2024-03-16T12:28:25.930Z
deementor,8.0,6.0,13.0,9.0,1.0,3.0,2.0,5.0,12.0,12.0,27.0,9ef3b2fd-d009-4ddc-8314-aec22e7c7dd8,2024-03-10T09:41:45.150Z
vikapu,3.0,3.0,10.0,4.0,2.0,11.0,1.0,6.0,10.0,13.0,17.0,9ef3b2fd-d009-4ddc-8314-aec22e7c7dd8,2024-03-10T09:41:45.150Z
kwetu,1.0,2.0,8.0,9.0,2.0,8.0,3.0,6.0,5.0,3.0,26.0,64be1020-9d9b-40f0-8468-bafca24b0aa1,2024-03-12T09:06:32.524Z
phenoms,4.0,7.0,4.0,11.0,6.0,8.0,1.0,3.0,11.0,7.0,47.0,64be1020-9d9b-40f0-8468-bafca24b0aa1,2024-03-12T09:06:32.524Z
db nets,8.0,6.0,8.0,10.0,0.0,3.0,3.0,1.0,4.0,3.0,26.0,1d28a4f3-3c80-4cc2-bf2c-1f44913145e7,2024-03-12T09:47:48.905Z
feba,7.0,9.0,11.0,5.0,1.0,4.0,2.0,3.0,4.0,3.0,22.0,1d28a4f3-3c80-4cc2-bf2c-1f44913145e7,2024-03-12T09:47:48.905Z
buruburu,3.0,4.0,22.0,22.0,5.0,14.0,1.0,15.0,21.0,9.0,63.0,b90cc7ed-1474-403a-b3e0-662f7e2620bd,2024-03-23T09:05:36.326Z
teffad,3.0,14.0,23.0,7.0,6.0,15.0,1.0,3.0,17.0,9.0,46.0,b90cc7ed-1474-403a-b3e0-662f7e2620bd,2024-03-23T09:05:36.326Z
deementor,12.0,8.0,11.0,16.0,2.0,13.0,1.0,5.0,15.0,13.0,46.0,14e7a1c2-caa1-4284-ba58-38ef729fa816,2024-03-23T13:15:41.832Z
saints,2.0,5.0,15.0,20.0,6.0,14.0,1.0,12.0,23.0,13.0,63.0,14e7a1c2-caa1-4284-ba58-38ef729fa816,2024-03-23T13:15:41.832Z
db nets,7.0,5.0,25.0,20.0,2.0,12.0,10.0,18.0,35.0,20.0,51.0,4ee37a8d-c92c-49d3-8d51-7469207c0e73,2024-04-07T10:12:48.486Z
twende,12.0,16.0,35.0,16.0,4.0,28.0,6.0,17.0,19.0,4.0,60.0,4ee37a8d-c92c-49d3-8d51-7469207c0e73,2024-04-07T10:12:48.486Z
db nets,3.0,2.0,10.0,8.0,0.0,5.0,1.0,5.0,3.0,6.0,18.0,72641c55-481b-491e-b9d7-8cf35be2c544,2024-03-12T10:20:28.697Z
kwetu,7.0,11.0,8.0,7.0,0.0,3.0,0.0,2.0,8.0,6.0,25.0,72641c55-481b-491e-b9d7-8cf35be2c544,2024-03-12T10:20:28.697Z
feba,8.0,10.0,20.0,12.0,7.0,22.0,2.0,16.0,21.0,16.0,55.0,ef02bc6f-9da6-4db8-bd46-8474dcc793e9,2024-03-17T13:47:16.731Z
jericho,9.0,12.0,33.0,10.0,3.0,15.0,1.0,12.0,25.0,13.0,41.0,ef02bc6f-9da6-4db8-bd46-8474dcc793e9,2024-03-17T13:47:16.731Z
db nets,2.0,1.0,4.0,7.0,3.0,5.0,0.0,4.0,9.0,9.0,24.0,008adebe-850f-4fab-9b8b-6aa799f3cd42,2024-03-11T06:48:50.930Z
phenoms,5.0,9.0,9.0,7.0,5.0,2.0,1.0,0.0,2.0,1.0,38.0,008adebe-850f-4fab-9b8b-6aa799f3cd42,2024-03-11T06:48:50.930Z
clique,6.0,8.0,10.0,6.0,4.0,8.0,2.0,4.0,12.0,5.0,32.0,f3d4f5c7-6fd7-4d31-860a-203b37da4cb8,2024-03-10T13:13:50.843Z
deementor,6.0,11.0,15.0,7.0,1.0,6.0,1.0,3.0,9.0,5.0,28.0,f3d4f5c7-6fd7-4d31-860a-203b37da4cb8,2024-03-10T13:13:50.843Z
feba,3.0,3.0,19.0,12.0,1.0,12.0,0.0,6.0,10.0,4.0,30.0,78d2c859-62fd-43c7-ae9d-900c9e75be28,2024-03-10T14:02:31.132Z
phenoms,5.0,4.0,18.0,9.0,2.0,9.0,1.0,9.0,18.0,9.0,28.0,78d2c859-62fd-43c7-ae9d-900c9e75be28,2024-03-10T14:02:31.132Z
buruburu,7.0,17.0,27.0,19.0,9.0,19.0,11.0,10.0,26.0,11.0,82.0,f98e13bf-f26b-4e2b-9d64-ccc94d9ce82e,2024-10-06T07:09:52.745Z
rangers,15.0,28.0,32.0,9.0,4.0,24.0,7.0,18.0,25.0,12.0,58.0,f98e13bf-f26b-4e2b-9d64-ccc94d9ce82e,2024-10-06T07:09:52.745Z
deementor,8.0,16.0,22.0,21.0,1.0,8.0,3.0,9.0,12.0,8.0,61.0,abb141b4-2fc7-4477-be00-98dba1586914,2024-04-14T08:48:27.370Z
feba,6.0,3.0,14.0,16.0,3.0,15.0,2.0,8.0,9.0,10.0,44.0,abb141b4-2fc7-4477-be00-98dba1586914,2024-04-14T08:48:27.370Z
feba,2.0,9.0,26.0,16.0,10.0,31.0,2.0,19.0,16.0,17.0,71.0,f7484326-41f9-4834-a6f6-20a3d1af843d,2024-04-12T12:41:47.339Z
junubin,7.0,8.0,22.0,18.0,0.0,11.0,1.0,12.0,16.0,14.0,44.0,f7484326-41f9-4834-a6f6-20a3d1af843d,2024-04-12T12:41:47.339Z
fam kenya,5.0,2.0,17.0,11.0,3.0,28.0,2.0,9.0,19.0,10.0,33.0,2f3eee19-37f4-4a1c-a6ec-20e49ddc4396,2024-03-31T12:05:02.194Z
phenoms,7.0,6.0,23.0,17.0,3.0,12.0,6.0,8.0,27.0,12.0,49.0,2f3eee19-37f4-4a1c-a6ec-20e49ddc4396,2024-03-31T12:05:02.194Z
clique m,10.0,13.0,23.0,19.0,2.0,11.0,6.0,10.0,14.0,5.0,57.0,63c0ff14-a04a-4e7c-b393-4e2c91bb4c53,2024-04-14T11:36:27.120Z
huruma,4.0,6.0,12.0,12.0,6.0,22.0,6.0,10.0,11.0,10.0,48.0,63c0ff14-a04a-4e7c-b393-4e2c91bb4c53,2024-04-14T11:36:27.120Z
kwetu,10.0,10.0,19.0,15.0,4.0,19.0,0.0,10.0,17.0,8.0,52.0,c9e92b03-e229-4152-9c97-90bbcb02a934,2024-03-16T10:17:52.424Z
pride landers,13.0,10.0,23.0,11.0,5.0,17.0,1.0,15.0,21.0,9.0,47.0,c9e92b03-e229-4152-9c97-90bbcb02a934,2024-03-16T10:17:52.424Z
e nets,11.0,7.0,38.0,21.0,2.0,9.0,7.0,12.0,19.0,15.0,55.0,5b69a54f-147c-4de0-b6c1-f46eac826f2f,2024-03-16T13:55:04.936Z
vikapu,11.0,8.0,23.0,15.0,4.0,16.0,4.0,7.0,23.0,12.0,50.0,5b69a54f-147c-4de0-b6c1-f46eac826f2f,2024-03-16T13:55:04.936Z
huruma dragons,4.0,2.0,20.0,20.0,5.0,14.0,7.0,2.0,12.0,4.0,57.0,a8c0c740-64b3-4004-acd4-3990fbde0518,2024-05-26T08:29:31.252Z
teffad,11.0,10.0,20.0,21.0,1.0,7.0,2.0,6.0,14.0,11.0,55.0,a8c0c740-64b3-4004-acd4-3990fbde0518,2024-05-26T08:29:31.252Z
fam kenya,7.0,19.0,28.0,11.0,3.0,17.0,3.0,6.0,19.0,11.0,50.0,38194d11-6ed8-4e4f-824e-17210f3a689c,2024-10-10T05:21:57.170Z
kibra,6.0,9.0,22.0,21.0,4.0,15.0,8.0,5.0,24.0,4.0,63.0,38194d11-6ed8-4e4f-824e-17210f3a689c,2024-10-10T05:21:57.170Z
clique mambas,9.0,14.0,19.0,21.0,5.0,9.0,6.0,5.0,17.0,8.0,71.0,f0fdacd8-ea24-4c57-91c4-12f005045e1f,2024-06-09T08:41:13.194Z
deementor,4.0,3.0,25.0,25.0,1.0,13.0,2.0,5.0,19.0,7.0,56.0,f0fdacd8-ea24-4c57-91c4-12f005045e1f,2024-06-09T08:41:13.194Z
bantu,5.0,9.0,30.0,13.0,4.0,16.0,4.0,14.0,29.0,16.0,47.0,044bd225-b9dd-453b-921e-12aff55052e6,2024-04-12T12:38:16.923Z
db nets,15.0,19.0,27.0,15.0,3.0,17.0,5.0,15.0,27.0,14.0,58.0,044bd225-b9dd-453b-921e-12aff55052e6,2024-04-12T12:38:16.923Z
huruma,9.0,3.0,9.0,8.0,0.0,6.0,0.0,10.0,5.0,3.0,19.0,8c5a7dde-e82e-47ae-9068-8a7ebde89de7,2024-03-09T12:13:20.621Z
leos,5.0,4.0,9.0,7.0,0.0,4.0,0.0,1.0,5.0,3.0,18.0,8c5a7dde-e82e-47ae-9068-8a7ebde89de7,2024-03-09T12:13:20.621Z
moorewright,0.0,0.0,16.0,14.0,4.0,25.0,3.0,10.0,26.0,15.0,40.0,35557c1d-e89c-46a0-8158-b6a7b19aa694,2024-03-17T14:52:00.112Z
twende,5.0,7.0,26.0,31.0,7.0,21.0,11.0,26.0,36.0,12.0,90.0,35557c1d-e89c-46a0-8158-b6a7b19aa694,2024-03-17T14:52:00.112Z
e nets,3.0,4.0,21.0,22.0,1.0,6.0,3.0,5.0,15.0,17.0,51.0,82d83384-81fa-441d-9edb-cd216e9ac560,2024-06-09T14:49:09.051Z
twende,5.0,16.0,18.0,15.0,9.0,21.0,11.0,5.0,11.0,16.0,73.0,82d83384-81fa-441d-9edb-cd216e9ac560,2024-06-09T14:49:09.051Z
fam kenya,12.0,26.0,18.0,15.0,5.0,13.0,3.0,14.0,24.0,20.0,71.0,c495299f-9f2d-449a-b999-e3c08e50cbf3,2024-10-12T05:16:07.884Z
kibra,6.0,15.0,20.0,14.0,8.0,20.0,4.0,11.0,17.0,12.0,67.0,c495299f-9f2d-449a-b999-e3c08e50cbf3,2024-10-12T05:16:07.884Z
kibra,6.0,9.0,21.0,17.0,11.0,11.0,3.0,7.0,9.0,7.0,76.0,044ec448-0264-4a65-9eec-6a313673b2aa,2024-03-16T15:52:26.051Z
sunrise kenya,10.0,5.0,24.0,19.0,3.0,6.0,3.0,3.0,10.0,4.0,52.0,044ec448-0264-4a65-9eec-6a313673b2aa,2024-03-16T15:52:26.051Z
kibra,4.0,5.0,28.0,18.0,3.0,15.0,4.0,11.0,30.0,29.0,50.0,d8a8c910-3cdb-4be5-9b2e-e70d9c96a8ee,2024-03-24T13:18:03.876Z
vikapu k,17.0,12.0,47.0,21.0,5.0,15.0,6.0,22.0,21.0,15.0,69.0,d8a8c910-3cdb-4be5-9b2e-e70d9c96a8ee,2024-03-24T13:18:03.876Z
kwetu,10.0,11.0,32.0,22.0,0.0,8.0,6.0,11.0,22.0,10.0,55.0,80528352-ea0a-4c0b-8f05-c7367ec83d6f,2024-03-24T09:00:43.648Z
leos,6.0,1.0,22.0,12.0,2.0,8.0,3.0,10.0,18.0,17.0,31.0,80528352-ea0a-4c0b-8f05-c7367ec83d6f,2024-03-24T09:00:43.648Z
buruburu,11.0,9.0,31.0,12.0,1.0,17.0,1.0,12.0,18.0,15.0,36.0,67a339fb-7d62-44c8-a9bd-3e5061d8a8a5,2024-04-14T10:07:23.613Z
phenoms,10.0,8.0,22.0,13.0,4.0,11.0,1.0,10.0,23.0,20.0,46.0,67a339fb-7d62-44c8-a9bd-3e5061d8a8a5,2024-04-14T10:07:23.613Z
fam kenya,5.0,5.0,11.0,8.0,1.0,6.0,0.0,4.0,12.0,2.0,24.0,72759044-44b1-4c0f-8f00-ca1025e8d93d,2024-03-09T13:14:13.558Z
leos,1.0,1.0,12.0,6.0,1.0,3.0,0.0,4.0,4.0,7.0,16.0,72759044-44b1-4c0f-8f00-ca1025e8d93d,2024-03-09T13:14:13.558Z
